Name,Platform,Year,Genre,Publisher,Global_Sales
Wii Sports,Wii,2006,Sports,Nintendo,82.74
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24
Mario Kart Wii,Wii,2008,Racing,Nintendo,37.38
Wii Sports Resort,Wii,2009,Sports,Nintendo,33.00
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37
Tetris,GB,1989,Puzzle,Nintendo,30.26
New Super Mario Bros.,DS,2006,Platform,Nintendo,30.01
Wii Play,Wii,2006,Misc,Nintendo,29.02
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.62
Duck Hunt,NES,1984,Shooter,Nintendo,28.31
